(11, 0, 3)	2	0	255881	207886	17	17
(1, 2, 3)	0	0	970617	999437	110	109
(2, 1, 3)	1	0	701404	464832	25	24
(1, 3, 3)	1	0	710454	908528	51	50
(3, 1, 3)	1	0	244699	316089	20	19
(1, 4, 3)	2	0	616901	477310	29	29
(4, 1, 3)	1	0	269636	315545	20	19
(1, 5, 3)	1	0	127901	39975	11	10
(5, 1, 3)	2	0	193633	141146	11	11
(1, 6, 3)	1	0	622049	808132	27	26
(6, 1, 3)	2	0	130989	166371	11	11
(1, 7, 3)	1	0	611205	434529	32	31
(7, 1, 3)	2	0	172028	166030	18	18
(1, 8, 3)	1	0	390377	337568	21	20
(8, 1, 3)	2	0	460873	376180	26	26
(1, 9, 3)	1	0	528741	130861	35	34
(9, 1, 3)	2	0	5432	164597	13	13
(1, 10, 3)	1	0	173758	160906	13	12
(10, 1, 3)	2	0	845972	369633	28	28
(1, 11, 3)	1	0	497834	779270	26	25
(11, 1, 3)	2	0	271718	98207	15	15
(2, 3, 3)	2	0	584925	5761	15	15
(3, 2, 3)	2	0	901962	901646	51	51
(2, 4, 3)	2	0	591227	55187	16	16
(4, 2, 3)	2	0	737343	777756	37	37
(2, 5, 3)	1	0	497238	599983	18	17
(5, 2, 3)	2	0	609282	347295	25	25
(2, 6, 3)	2	0	537850	123980	16	16
(6, 2, 3)	2	0	133435	50892	9	9
(2, 7, 3)	2	0	504796	78705	15	15
(7, 2, 3)	2	0	171397	255596	17	17
(2, 8, 3)	2	0	638837	96396	16	16
(8, 2, 3)	2	0	433734	304138	23	23
(2, 9, 3)	1	0	197090	4283	11	10
(9, 2, 3)	2	0	31910	223210	25	25
(2, 10, 3)	2	0	394586	252510	13	13
(10, 2, 3)	2	0	784465	465920	28	28
(2, 11, 3)	2	0	633218	55226	19	19
(11, 2, 3)	2	0	784658	332352	27	27
(3, 4, 3)	0	0	978530	993412	110	109
(4, 3, 3)	0	0	993731	976322	110	109
(3, 5, 3)	1	0	31639	40568	10	9
(5, 3, 3)	2	0	216414	3993	15	15
(3, 6, 3)	1	0	306756	707334	23	22
(6, 3, 3)	2	0	130235	24871	9	9
(3, 7, 3)	1	0	269823	388442	26	25
(7, 3, 3)	2	0	167522	89743	15	15
(3, 8, 3)	1	0	185927	338693	21	20
(8, 3, 3)	2	0	418475	157209	24	24
(3, 9, 3)	1	0	184592	20866	25	24
(9, 3, 3)	2	0	9141	4208	15	15
(3, 10, 3)	1	0	37605	139296	13	12
(10, 3, 3)	2	0	782918	151119	26	26
(3, 11, 3)	1	0	188781	573217	21	20
(11, 3, 3)	2	0	941306	477364	34	34
(4, 5, 3)	1	0	51423	44843	14	13
(5, 4, 3)	2	0	610874	454312	27	27
(4, 6, 3)	1	0	742876	931892	46	45
(6, 4, 3)	2	0	133571	80732	8	8
(4, 7, 3)	1	0	322392	424019	34	33
(7, 4, 3)	2	0	170842	68366	15	15
(4, 8, 3)	1	0	246825	341310	24	23
(8, 4, 3)	2	0	320308	332200	27	27
(4, 9, 3)	1	0	347560	142265	33	32
(9, 4, 3)	2	0	43579	471368	32	32
(4, 10, 3)	1	0	69845	156675	14	13
(10, 4, 3)	2	0	780907	388355	28	28
